Run,D50/a,L/a,dt/a,F,Fd,ds/a
1R1,0.08,55,12.77,4.868950283,13.40134459,5.9
1R2,0.053333333,33.33333333,10.86666667,3.154316278,10.633198,3.933333333
1R3,0.053333333,33.33333333,9.066666667,2.580804227,8.699889275,3.533333333
1R4,0.064,40,11.28,4.097909763,12.61044557,4.96
1R5,0.064,40,10.208,3.855176432,11.86348537,4.08
1R6,0.08,50,12.27,4.757203883,13.09377275,6.1
1R7,0.08,50,11.4,4.182508112,11.5119747,5.9
1R8,0.053333333,26.66666667,10.86666667,3.154316278,10.633198,5.1
1R9,0.053333333,26.66666667,9.066666667,2.580804227,8.699889275,4.1
1R10,0.064,32,11.28,4.097909763,12.61044557,5.52
1R11,0.064,32,10.208,3.855176432,11.86348537,5.04
1R12,0.08,40,12.27,4.757203883,13.09377275,6.4
1R13,0.08,40,11.4,4.182508112,11.5119747,6
1R14,0.053333333,33.33333333,10.33333333,3.571415951,12.03924071,4.3
1R15,0.053333333,33.33333333,10,3.050041359,10.28168732,4.6
1R16,0.053333333,33.33333333,9.666666667,2.372254391,7.996867919,3.733333333
1R17,0.053333333,26.66666667,10.33333333,3.571415951,12.03924071,5.5
1R18,0.053333333,26.66666667,10,3.050041359,10.28168732,5
1R19,0.053333333,26.66666667,9.666666667,2.372254391,7.996867919,4.066666667
1R20,0.064,40,12,3.198368595,9.842298978,4
1R21,0.064,40,9.36,2.798572521,8.612011605,3.76
1R22,0.064,40,8.24,2.541560759,7.82111258,3.28
1R23,0.064,32,12,3.198368595,9.842298978,4.6
1R24,0.064,32,9.36,2.798572521,8.612011605,4.08
2R1,0.186,55,12.77,4.868950283,8.788948016,3.9
2R2,0.124,33.33333333,10.86666667,3.154316278,6.973525967,3.533333333
2R3,0.124,33.33333333,9.066666667,2.580804227,5.705612155,2.466666667
2R4,0.1488,40,11.28,4.097909763,8.270256002,4.16
2R5,0.1488,40,10.208,3.855176432,7.780380211,2.88
2R6,0.186,50,12.27,4.757203883,8.587234455,5.9
2R7,0.186,50,11.4,4.182508112,7.549850427,4.5
2R8,0.124,26.66666667,10.86666667,3.154316278,6.973525967,3.933333333
2R9,0.124,26.66666667,9.066666667,2.580804227,5.705612155,3.866666667
2R10,0.1488,32,11.28,4.097909763,8.270256002,4.96
2R11,0.1488,32,10.208,3.855176432,7.780380211,4.72
2R12,0.186,40,12.27,4.757203883,8.587234455,6
2R13,0.186,40,11.4,4.182508112,7.549850427,5.7
2R14,0.124,33.33333333,10.33333333,3.571415951,7.895645103,4
2R15,0.124,33.33333333,10,3.050041359,6.742996183,2.8
2R16,0.124,33.33333333,9.666666667,2.372254391,5.244552587,3
2R17,0.124,26.66666667,10.33333333,3.571415951,7.895645103,4.56
2R18,0.124,26.66666667,10,3.050041359,6.742996183,4
2R19,0.124,26.66666667,9.666666667,2.372254391,5.244552587,3.2
2R20,0.1488,40,12,3.198368595,6.454833953,3.2
2R21,0.1488,40,9.36,2.798572521,5.647979709,2.96
2R22,0.1488,40,8.24,2.541560759,5.129287695,2.64
2R23,0.1488,32,12,3.198368595,6.454833953,3.92
2R24,0.1488,32,9.36,2.798572521,5.647979709,3.2
3R1,0.3,55,12.77,4.868950283,6.920424589,3
3R2,0.2,33.33333333,10.86666667,3.154316278,5.490959837,3.4
3R3,0.2,33.33333333,9.066666667,2.580804227,4.492603503,3.266666667
3R4,0.24,40,11.28,4.097909763,6.512006088,4.08
3R5,0.24,40,10.208,3.855176432,6.126277505,2.76
3R6,0.3,50,12.27,4.757203883,6.761595172,3.3
3R7,0.3,50,11.4,4.182508112,5.944758171,3.2
3R8,0.2,26.66666667,10.86666667,3.154316278,5.490959837,3.633333333
3R9,0.2,26.66666667,9.066666667,2.580804227,4.492603503,3.333333333
3R10,0.24,32,11.28,4.097909763,6.512006088,4.76
3R11,0.24,32,10.208,3.855176432,6.126277505,4.12
3R12,0.3,40,12.27,4.757203883,6.761595172,3.4
3R13,0.3,40,11.4,4.182508112,5.944758171,3.3
3R14,0.2,33.33333333,10.33333333,3.571415951,6.217037171,3.5
3R15,0.2,33.33333333,10,3.050041359,5.309440504,2.8
3R16,0.2,33.33333333,9.666666667,2.372254391,4.129564836,2.6
3R17,0.2,26.66666667,10.33333333,3.571415951,6.217037171,4.2
3R18,0.2,26.66666667,10,3.050041359,5.309440504,3.533333333
3R19,0.2,26.66666667,9.666666667,2.372254391,4.129564836,2.8
3R20,0.24,40,12,3.198368595,5.082541337,2.96
3R21,0.24,40,9.36,2.798572521,4.44722367,2.64
3R22,0.24,40,8.24,2.541560759,4.03880517,2.32
3R23,0.24,32,12,3.198368595,5.082541337,3.44
3R24,0.24,32,9.36,2.798572521,4.44722367,2.8
4R1,0.017333333,33.33333333,10.86666667,3.154316278,18.65186316,6.733333333
4R2,0.017333333,33.33333333,9.066666667,2.580804227,15.26061531,5.266666667
4R3,0.0208,40,11.28,4.097909763,22.12018482,7.52
4R4,0.0208,40,10.208,3.855176432,20.80992997,6.8
4R5,0.017333333,26.66666667,10.86666667,3.154316278,18.65186316,7.333333333
4R6,0.017333333,26.66666667,9.066666667,2.580804227,15.26061531,5.666666667
4R7,0.0208,32,11.28,4.097909763,22.12018482,8.16
4R8,0.0208,32,10.208,3.855176432,20.80992997,7.36
5R1,0.169333333,33.33333333,10.86666667,3.154316278,5.967494621,3.666666667
5R2,0.169333333,33.33333333,9.066666667,2.580804227,4.882495599,2.8
5R3,0.2032,40,11.28,4.097909763,7.077152712,4.08
5R4,0.2032,40,10.208,3.855176432,6.657948544,3.68
5R5,0.169333333,26.66666667,10.86666667,3.154316278,5.967494621,3.933333333
5R6,0.169333333,26.66666667,9.066666667,2.580804227,4.882495599,3.066666667
5R7,0.2032,32,11.28,4.097909763,7.077152712,4.4
5R8,0.2032,32,10.208,3.855176432,6.657948544,4
6R1,0.273333333,33.33333333,10.86666667,3.154316278,4.69696113,3.2
6R2,0.273333333,33.33333333,9.066666667,2.580804227,3.842968197,2.466666667
6R3,0.328,40,11.28,4.097909763,5.570362993,3.6
6R4,0.328,40,10.208,3.855176432,5.240411178,3.2
6R5,0.273333333,26.66666667,10.86666667,3.154316278,4.69696113,3.466666667
